Message,Actual,Prediction
recieve tone within next hr term condition please see channel u teletext pg,1,0
hi ur lookin saucy daytime fun wiv busty married woman free next week chat sort time janinexx,1,0
asked mobile chatlines inclu free min india cust servs sed yes ler got mega bill dont giv shit bailiff due day want,1,0
waiting machan call free,0,1
ok ur typical reply,0,1
hi lucy hubby meetins day fri b alone hotel u fancy cumin pls leave msg day lucy x,1,0
missed call alert number called left message,1,0
k k sm chat,0,1
sm ac sun post helloyou seem cool,1,0
freemsg hey u got videopic fones reply wild txt ill send u pic hurry im bored work xxx prcvd stopstop,1,0
babe u want dont u baby im nasty thing filthyguys fancy rude time sexy bitch go slo n hard txt xxx slomsgs,1,0
lost pound help,1,0
simpson movie released july name band died start film agreen day bblue day cred day send b c,1,0
xmas new year eve ticket sale club day till pm thurs fri sat night week theyre selling fast,1,0
please call amanda regard renewing upgrading current tmobile handset free charge offer end today tel subject t c,1,0
latest news police station toilet stolen cop nothing go,1,0
want explicit sex sec ring cost pmin,1,0
would like see xxx pic hot nearly banned uk,1,0
ringtoneking,1,0
burger king wan na play footy top stadium get burger king st sept go large super cocacola walk winner,1,0
